Time Stamp	EMG CH1	EMG CH2
CAL	CAL	CAL
milliseconds	millivolts *	millivolts *
324868.1335449219	-17.8775814625718	-1.9084104190362
324870.0866699219	-17.87527357045097	-1.923219393478162
324872.0397949219	-17.87801419234445	-1.889322227953541
324873.9929199219	-17.87909601677609	-1.930359434726966
324875.9460449219	-17.87657175976894	-1.943365368449533
324877.8991699219	-17.8802499628365	-2.034839634280161
324879.8522949219	-17.878158435602	-2.040849770011477
324881.8054199219	-17.87760550311472	-2.074145921962967
324883.7585449219	-17.87912005731901	-2.182184121869102
324885.7116699219	-17.87700448954159	-2.218509382229175
324887.6647949219	-17.87827863831663	-2.093017748159299
324889.6179199219	-17.87791803017275	-1.86917625298217
324891.5710449219	-17.87611498945336	-1.777245216835962
324893.5241699219	-17.87731701659962	-1.895260242056081
324895.4772949219	-17.87686024628404	-1.947259936403426
324897.4304199219	-17.88137986835399	-1.924301217909799
324899.3835449219	-17.88073077369501	-1.872565969534632
324901.3366699219	-17.8778699490869	-1.848236940094265
324903.2897949219	-17.87943258437704	-1.877566402463087
324905.2429199219	-17.87803823288738	-1.952428653132358
324907.1960449219	-17.87907197623316	-2.032507701616411
324909.1491699219	-17.87712469225622	-2.182568770555906
324911.1022949219	-17.87582650293825	-2.257070413081298
324913.0554199219	-17.87741317877132	-2.111048155353247
324915.0085449219	-17.87782186800105	-1.872157280304902
324916.9616699219	-17.88140390889691	-1.7966940160625
324918.9147949219	-17.88152411161154	-1.84501550734228
324920.8679199219	-17.87981723306385	-1.939158273437612
324922.8210449219	-17.88080289532378	-1.943701936050487
324924.7741699219	-17.87921621949071	-1.952933504533788
324926.7272949219	-17.87695640845574	-2.005846739512293
324928.6804199219	-17.87601882728165	-1.991374332671285
324930.6335449219	-17.87592266510995	-1.941802733159391
324932.5866699219	-17.87647559759723	-2.054144190249148
324934.5397949219	-17.87755742202887	-2.031473958270624
324936.4929199219	-17.87712469225622	-2.057581987887461
324938.4460449219	-17.87897581406146	-2.114509993534485
324940.3991699219	-17.8802499628365	-2.038181269746773
324942.3522949219	-17.87892773297561	-1.958126261805645
324944.3054199219	-17.87924026003364	-1.911271243644306
324946.2585449219	-17.87652367868309	-1.914180149338263
324948.2116699219	-17.87426386764811	-1.995629508769056
324950.1647949219	-17.87601882728165	-2.049215878949469
324952.1179199219	-17.87515336773635	-1.996182441256337
324954.0710449219	-17.87515336773635	-1.906102526915375
324956.0241699219	-17.87878348971806	-1.785394960887626
324957.9772949219	-17.88029804392235	-1.789337609927369
324959.9304199219	-17.87904793569024	-1.836865763290616
324961.8835449219	-17.87952874654874	-1.870450401757209
324963.8366699219	-17.87753338148595	-1.945048206454302
324965.7897949219	-17.87700448954159	-1.970146533268277
324967.7429199219	-17.8774853004001	-1.969809965667323
324969.6960449219	-17.87623519216798	-1.970867749556035
324971.6491699219	-17.87772570582935	-1.985724805083848
324973.6022949219	-17.87686024628404	-1.977262533974155
324975.5554199219	-17.87861520591758	-2.012097280672862
324977.5085449219	-17.87957682763459	-2.00779402348924
324979.4616699219	-17.87914409786194	-2.002529144588607
324981.4147949219	-17.87926430057657	-1.995845873655384
324983.3679199219	-17.87801419234445	-1.927787096633963
324985.3210449219	-17.87842288157418	-1.905741918771496
324987.2741699219	-17.87616307053921	-1.963006492019474
324989.2272949219	-17.87582650293825	-1.935287746026645
324991.1804199219	-17.87613902999628	-1.93992757081122
324993.1335449219	-17.87693236791281	-1.971108154985287
324995.0866699219	-17.87604286782458	-2.158408024916016
324997.0397949219	-17.87924026003364	-2.217836247027268
324998.9929199219	-17.87952874654874	-2.26502783278956
325000.9460449219	-17.87924026003364	-2.24817541219895
325002.8991699219	-17.87936046274827	-2.101143451668038
325004.8522949219	-17.87964894926337	-1.877205794319208
325006.8054199219	-17.87863924646051	-1.7351261856309
325008.7585449219	-17.87895177351854	-1.756858836435338
325010.7116699219	-17.87799015180153	-1.839558304098245
325012.6647949219	-17.8759707461958	-1.906102526915375
325014.6179199219	-17.87592266510995	-1.960602437726947
325016.5710449219	-17.87823055723078	-2.064818191307965
325018.5241699219	-17.879769151978	-2.229832477946974
325020.4772949219	-17.87674004356941	-2.208965286687846
325022.4304199219	-17.88029804392235	-1.980147399125187
325024.3835449219	-17.87609094891043	-1.823811748482197
